"Name","Category","Price","Currency","Description","Available"
"Yellow Plantain","Fruits & Vegetables",1.49,"CAD","Per lbs","1"
"Agushi(Melon powder)","Grocery",7.99,"CAD","300g","1"
"Cedar Harissa","Grocery",3.99,"CAD","425ml","1"
"Cedar Honey","Grocery",14.99,"CAD","1kg","1"
"Chunk Light Tuna in oil","Grocery",1.99,"CAD","170g","1"
"Chunk Light Tuna in water","Grocery",1.99,"CAD","170g","1"
"Coconut Milk In Can","Grocery",2.99,"CAD","400ml","1"
"Condensed Milk","Grocery",4.99,"CAD","300ml","1"
"Corn Porridge","Grocery",6.99,"CAD","1kg","1"
"Corn Starch","Grocery",2.99,"CAD","400g","1"
"Dal Kumro Bori","Grocery",5.99,"CAD",NA,"1"
"Dried Red Sorrel","Grocery",5.99,"CAD","125 g","1"
"Dry Plum(Boroi)","Grocery",5.99,"CAD",NA,"1"
"Evaporated Milk","Grocery",3.99,"CAD","354ml","1"
"Fried Onion Non Coated","Grocery",4.99,"CAD","312gm","1"
"Fufu Cocoyam","Grocery",8.49,"CAD","680g","1"
"Fufu Plantain","Grocery",8.49,"CAD","680 gm","1"
"Green Jackfruit In Can","Grocery",3.99,"CAD","580ml","0"
"Ispahani Mirzapore Tea","Grocery",6.99,"CAD","400gm","1"
"Jack Mackerel in Can","Grocery",4.99,"CAD","425g","1"
"Jack Mackerel in Tomato Sauce","Grocery",4.49,"CAD","425g","1"
"Kashta Cream","Grocery",3.49,"CAD","170ml","1"
"Lipton Yellow Label Tea","Grocery",7.99,"CAD","200gm/100 Tea Bag","1"
"Maggi Chicken Cube Box","Grocery",6.99,"CAD","21gm*24","1"
"Masoud Tomato Paste","Grocery",4.99,"CAD","796ml","1"
"Natural Honey","Grocery",8.99,"CAD","375g","1"
"Palmnut Cream","Grocery",5.99,"CAD","800g","1"
"Phoenicia honey With Comb","Grocery",12.99,"CAD","500gm","1"
"Redpath Sugar","Grocery",3.99,"CAD","2kg","1"
"Sago Seeds","Grocery",2.99,"CAD","200g","1"
"Sriracha Hot Chili Sauce","Grocery",7.99,"CAD","714ml","1"
"Table Salt","Grocery",1.99,"CAD","1kg","1"
"Talmakhana","Grocery",5.99,"CAD",NA,"1"
"Tapal Danedar Tea","Grocery",7.99,"CAD","450gm","1"
"Tapal Family Mixture","Grocery",12.99,"CAD","900gm","1"
"Titus Sardinas in Soybean","Grocery",1.99,"CAD","123g","1"
"Wonderfarm Coconut Cream","Grocery",3.49,"CAD","400ml","1"
"Yellow Gari","Grocery",5.99,"CAD","1kg","1"
"Bigen Hair Color 48","Health & Beauty",5.99,"CAD","Dark Chestnut","1"
"Bigen Hair Color 57","Health & Beauty",5.99,"CAD","Dark Brown","1"
"Bigen Hair Color 59","Health & Beauty",5.99,"CAD","Oriental Black","1"
"Chandrika Soap","Health & Beauty",2.99,"CAD","175gm","1"
"Complete Care Neem Toothpaste","Health & Beauty",4.99,"CAD","150gm","1"
"Eno Regular","Health & Beauty",5.99,"CAD","100gm","1"
"Fair and Lovely","Health & Beauty",7.99,"CAD","80gm","1"
"Hajmola","Health & Beauty",3.99,"CAD","66gm","1"
"Handi Black Henna for Hair","Health & Beauty",4.99,"CAD","Black","1"
"Lux Soap","Health & Beauty",2.99,"CAD","100gm","1"
"Lux Soap","Health & Beauty",2.99,"CAD",NA,"1"
"Neem and Turmeric Soap","Health & Beauty",3.99,"CAD","125gm","1"
