"single_product_name","single_product_category","single_product_price","single_product_currency","single_product_discription","single_product_availability"
"Dried Red Sorrel","Grocery","5.99","CAD","125 g","yes"
"Dry Plum(Boroi)","Grocery","5.99","CAD",NA,"yes"
"Evaporated Milk","Grocery","3.99","CAD","354ml","yes"
"Fried Onion Non Coated","Grocery","4.99","CAD","312gm","yes"
"Fufu Cocoyam","Grocery","8.49","CAD","680g","yes"
"Fufu Plantain","Grocery","8.49","CAD","680 gm","yes"
"Green Jackfruit In Can","Grocery","3.99","CAD","580ml","no"
"Ispahani Mirzapore Tea","Grocery","6.99","CAD","400gm","yes"
"Jack Mackerel in Can","Grocery","4.99","CAD","425g","yes"
"Jack Mackerel in Tomato Sauce","Grocery","4.49","CAD","425g","yes"
"Kashta Cream","Grocery","3.49","CAD","170ml","yes"
"Lipton Yellow Label Tea","Grocery","7.99","CAD","200gm/100 Tea Bag","yes"
"Maggi Chicken Cube Box","Grocery","6.99","CAD","21gm*24","yes"
"Masoud Tomato Paste","Grocery","4.99","CAD","796ml","yes"
"Natural Honey","Grocery","8.99","CAD","375g","yes"
"Palmnut Cream","Grocery","5.99","CAD","800g","yes"
"Phoenicia honey With Comb","Grocery","12.99","CAD","500gm","yes"
"Redpath Sugar","Grocery","3.99","CAD","2kg","yes"
"Sago Seeds","Grocery","2.99","CAD","200g","yes"
"Sriracha Hot Chili Sauce","Grocery","7.99","CAD","714ml","yes"
"Table Salt","Grocery","1.99","CAD","1kg","yes"
"Talmakhana","Grocery","5.99","CAD",NA,"yes"
"Tapal Danedar Tea","Grocery","7.99","CAD","450gm","yes"
"Tapal Family Mixture","Grocery","12.99","CAD","900gm","yes"
"Titus Sardinas in Soybean","Grocery","1.99","CAD","123g","yes"
"Wonderfarm Coconut Cream","Grocery","3.49","CAD","400ml","yes"
"Yellow Gari","Grocery","5.99","CAD","1kg","yes"
"Bigen Hair Color 48","Health & Beauty","5.99","CAD","Dark Chestnut","yes"
"Bigen Hair Color 57","Health & Beauty","5.99","CAD","Dark Brown","yes"
"Bigen Hair Color 59","Health & Beauty","5.99","CAD","Oriental Black","yes"
"Chandrika Soap","Health & Beauty","2.99","CAD","175gm","yes"
"Complete Care Neem Toothpaste","Health & Beauty","4.99","CAD","150gm","yes"
"Eno Regular","Health & Beauty","5.99","CAD","100gm","yes"
"Fair and Lovely","Health & Beauty","7.99","CAD","80gm","yes"
"Hajmola","Health & Beauty","3.99","CAD","66gm","yes"
"Handi Black Henna for Hair","Health & Beauty","4.99","CAD","Black","yes"
"Lux Soap","Health & Beauty","2.99","CAD","100gm","yes"
"Lux Soap","Health & Beauty","2.99","CAD",NA,"yes"
"Neem and Turmeric Soap","Health & Beauty","3.99","CAD","125gm","yes"
"Neem Face Wash","Health & Beauty","5.99","CAD","100ml","yes"
"Neem Oil","Health & Beauty","3.99","CAD","100 ml","yes"
"Noorani Hair Color (Black Henna)","Health & Beauty","5.99","CAD","Black Henna","yes"
"Noorani Hair Color (Brown Henna)","Health & Beauty","5.99","CAD","Brown Henna","yes"
"Noorani Hair Color (Chestnut Henna)","Health & Beauty","5.99","CAD","Chestnut Henna","yes"
"Zarqa Henna for Hair","Health & Beauty","3.99","CAD","Black","yes"
"Belly sauce pan","Household Items","19.99","CAD","Household Item","yes"
"Big Boss","Household Items","27.99","CAD","Full S.S","yes"
"Casserole with Glass Lid","Household Items","24.99","CAD","Non-Stick","yes"
"Disco Hari with Sora Dhakna","Household Items","27.99","CAD","Household item","yes"
"Food Pot Leisure (Half S S)","Household Items","9.99","CAD","500ml","yes"
"Frypan","Household Items","14.99","CAD","Bakelite Handle","yes"
"Frypan with Lid","Household Items","24.99","CAD","Non-Stick","yes"
"Frypan without Lid","Household Items","24.99","CAD","Non-stick","yes"
"Galaxy Full Steel","Household Items","38.99","CAD","6000ml","yes"
"Galaxy Full Steel (M.L)","Household Items","38.99","CAD","In-store only","yes"
"Karai Metal Halnde","Household Items","38.99","CAD","30 cm","yes"
"Karai with GL (Bakelite Handle)","Household Items","27.99","CAD","22 cm","yes"
"Karai with Glass Lid","Household Items","34.99","CAD","Non-Stick","yes"
"Kiam (Classic)","Household Items","39.99","CAD","Pressure cooker","yes"
"Kiam Queen  (White)","Household Items","34.99","CAD","Pressure cooker","yes"
"Lunch Pot","Household Items","24.99","CAD","4 Bati (pcs)","yes"
"Lunch Pot","Household Items","19.99","CAD","Monalisa","yes"
"Milk Pan with Lid","Household Items","19.99","CAD","Household Item","yes"
"Multi Pan (Bakelite Handle)","Household Items","49.99","CAD","34 cm","yes"
"Multipan with Glass Lid","Household Items","34.99","CAD","Non-Stick","yes"
"N/S Milkpan","Household Items","21.99","CAD","Non-Stick","yes"
"Omega ( Inside S.S)","Household Items","27.99","CAD","2700ml","yes"
"One Handle Karai with Glass Lid","Household Items","34.99","CAD","Non-stick","yes"
"Pitha Hari (with Khura)","Household Items","14.99","CAD","No-9","yes"
"Rice Hari with Sora  Dhakna","Household Items","29.99","CAD","No-13","yes"
"Ruti Towa","Household Items","16.99","CAD","25 cm","yes"
"Sauce Pan","Household Items","19.99","CAD","Bakelite Handle","yes"
"Sock Pot","Household Items","27.99","CAD","Household Item","yes"
"Torkari Hari with Sora Dhakna","Household Items","34.99","CAD","Household Item","yes"
"Wok pan","Household Items","38.99","CAD","30 cm","yes"
"Aloo Puri","Kazi Farm","3.99","CAD","450g","yes"
"Dal Puri","Kazi Farm","3.99","CAD","450g","no"
"Plain Paratha","Kazi Farm","8.99","CAD","Family Packet","yes"
"Spring Roll Pastry","Kazi Farm","3.99","CAD","400gm","yes"
"Vegetable Samosa","Kazi Farm","3.99","CAD","400g","no"
"Vegetable Singara","Kazi Farm","3.99","CAD","Kazi Farms Kitchen","yes"
"Vegetable Spring Roll","Kazi Farm","3.99","CAD","400gm","yes"
